"ZIP
code [1]",Size of adjusted gross income,Number of returns [2],Number of single returns,Number of joint returns,Number of head of household returns,Number of individuals,Elderly returns,"Business or profession
net income (less loss)",Farm returns,Unemployment compensation [9],Taxable Social Security benefits,Partnership/S-corp net income (less loss)
98011,"$100,000 under $200,000",3000,790,2040,140,7030,770,480,0,110,500,230
98011,"$200,000 or more",2020,190,1770,50,6010,300,310,0,50,140,300
,,,,,,,,,,,,
98012,,33620,14480,16280,2380,69490,6470,4920,20,940,3840,1940
98012,"$1 under $25,000",6160,4970,680,410,6210,1110,940,0,90,290,110
98012,"$25,000 under $50,000",5490,3800,930,650,8260,1000,730,0,160,730,140
98012,"$50,000 under $75,000",4250,2440,1250,460,7330,1010,570,20,160,700,170
98012,"$75,000 under $100,000",3450,1380,1700,310,7210,870,470,0,130,620,180
98012,"$100,000 under $200,000",9100,1560,6990,450,24570,1830,1420,0,310,1160,670
98012,"$200,000 or more",5170,330,4730,100,15910,650,790,0,90,340,670
,,,,,,,,,,,,
98014,,3640,1560,1820,210,7260,930,610,60,120,530,310
98014,"$1 under $25,000",710,600,60,40,640,130,100,0,0,30,30
98014,"$25,000 under $50,000",570,390,110,60,840,140,90,30,30,100,0
98014,"$50,000 under $75,000",430,240,130,40,740,120,50,0,40,80,20
98014,"$75,000 under $100,000",370,130,200,30,760,120,70,0,0,90,20
98014,"$100,000 under $200,000",870,150,680,40,2210,280,160,30,50,170,100
98014,"$200,000 or more",690,50,640,0,2070,140,140,0,0,60,140
,,,,,,,,,,,,
98019,,5740,2290,3000,390,12300,1230,990,40,220,690,400
98019,"$1 under $25,000",1130,960,90,70,980,200,170,0,0,60,30
98019,"$25,000 under $50,000",770,530,120,110,1130,160,100,0,50,110,0
98019,"$50,000 under $75,000",620,330,220,60,1130,200,90,0,30,130,30
98019,"$75,000 under $100,000",500,170,280,40,1060,180,80,0,30,120,40
98019,"$100,000 under $200,000",1510,220,1200,80,4170,350,300,40,80,210,120
98019,"$200,000 or more",1210,80,1090,30,3830,140,250,0,30,60,180
,,,,,,,,,,,,
98020,,11260,5650,4960,520,19670,4930,1950,20,240,3280,1400
98020,"$1 under $25,000",2100,1820,190,60,1860,720,320,0,30,220,60
98020,"$25,000 under $50,000",1740,1300,290,110,2290,670,260,0,30,530,80
98020,"$50,000 under $75,000",1490,1000,360,100,2150,680,200,20,50,530,100
98020,"$75,000 under $100,000",1140,570,470,90,1950,580,190,0,30,440,90
98020,"$100,000 under $200,000",2720,730,1860,110,5950,1370,520,0,70,1010,350
98020,"$200,000 or more",2070,230,1790,50,5470,910,460,0,30,550,720
,,,,,,,,,,,,
98021,,15430,6410,7950,880,32480,3360,2280,0,440,1880,1030
98021,"$1 under $25,000",2840,2390,280,130,2570,660,410,0,40,180,30
98021,"$25,000 under $50,000",2240,1570,420,220,3260,550,270,0,80,390,60
98021,"$50,000 under $75,000",1740,1030,480,190,2880,490,230,0,60,350,60
98021,"$75,000 under $100,000",1410,560,710,110,2880,420,220,0,50,290,90
98021,"$100,000 under $200,000",3920,700,3010,170,10420,900,660,0,140,520,330
98021,"$200,000 or more",3280,160,3050,60,10470,340,490,0,70,150,460
,,,,,,,,,,,,
98022,,11680,5620,4940,1000,21910,3410,1490,230,480,2140,780
98022,"$1 under $25,000",2620,2080,280,230,2830,700,290,20,50,220,40
98022,"$25,000 under $50,000",2460,1670,440,320,3700,620,210,40,100,450,50
98022,"$50,000 under $75,000",1720,960,520,220,3030,570,200,20,80,440,80
98022,"$75,000 under $100,000",1370,460,760,120,2990,440,200,30,100,320,70
98022,"$100,000 under $200,000",2690,370,2220,90,7150,810,430,70,150,540,260
98022,"$200,000 or more",820,80,720,20,2210,270,160,50,0,170,280
,,,,,,,,,,,,
98023,,25000,12260,8810,3420,47140,5420,3380,0,880,3100,1120
98023,"$1 under $25,000",6470,4780,660,920,8130,1070,970,0,150,290,100
98023,"$25,000 under $50,000",6260,3800,990,1300,10790,870,670,0,210,560,120
98023,"$50,000 under $75,000",4060,1970,1250,710,7920,860,490,0,170,570,150
98023,"$75,000 under $100,000",2720,900,1490,270,6230,720,380,0,150,480,140
98023,"$100,000 under $200,000",4300,680,3400,190,11010,1430,660,0,180,960,320
98023,"$200,000 or more",1190,130,1020,30,3060,470,210,0,20,240,290
,,,,,,,,,,,,
98024,,2630,1180,1270,150,5200,750,480,30,70,430,280
98024,"$1 under $25,000",550,470,60,20,510,120,80,0,0,40,20
98024,"$25,000 under $50,000",420,300,80,40,610,110,60,0,0,70,0
98024,"$50,000 under $75,000",320,170,100,50,540,110,50,0,40,80,30
98024,"$75,000 under $100,000",240,90,130,0,480,100,40,30,0,70,0
98024,"$100,000 under $200,000",570,100,430,40,1460,180,130,0,30,110,70
98024,"$200,000 or more",530,50,470,0,1600,130,120,0,0,60,160
,,,,,,,,,,,,
98026,,19840,10030,8070,1420,35590,5690,3160,30,620,3410,1440
98026,"$1 under $25,000",4120,3450,370,240,4070,1000,630,0,60,300,100
98026,"$25,000 under $50,000",3890,2780,570,450,5540,900,500,0,120,640,120
98026,"$50,000 under $75,000",3020,1790,830,320,4920,870,410,30,120,600,110
98026,"$75,000 under $100,000",2230,910,1100,180,4390,800,370,0,90,560,150
98026,"$100,000 under $200,000",4590,920,3430,190,11200,1530,830,0,180,990,440
98026,"$200,000 or more",1990,180,1770,40,5470,590,420,0,50,320,520
,,,,,,,,,,,,
98027,,15260,7340,6770,900,28320,3910,2520,40,410,2350,1380
98027,"$1 under $25,000",2700,2310,220,140,2300,520,410,0,30,140,60
98027,"$25,000 under $50,000",2190,1660,270,210,2960,480,290,0,70,320,80
98027,"$50,000 under $75,000",1870,1250,420,160,2770,500,260,0,50,360,70
98027,"$75,000 under $100,000",1460,760,560,110,2490,490,240,0,60,340,70
98027,"$100,000 under $200,000",3650,1030,2360,190,8050,1190,660,40,130,780,380
98027,"$200,000 or more",3390,330,2940,90,9750,730,660,0,70,410,720
,,,,,,,,,,,,
98028,,11930,5800,5210,730,22610,2880,1980,0,370,1650,930
98028,"$1 under $25,000",2380,2000,210,130,2320,510,380,0,40,140,50
98028,"$25,000 under $50,000",2010,1480,300,190,2800,420,290,0,60,290,60
98028,"$50,000 under $75,000",1560,980,400,140,2490,410,200,0,60,280,80
98028,"$75,000 under $100,000",1160,520,520,90,2180,390,210,0,50,270,80
98028,"$100,000 under $200,000",2740,620,1940,140,6750,770,500,0,110,470,270
98028,"$200,000 or more",2080,200,1840,40,6070,380,400,0,50,200,390
,,,,,,,,,,,,
98029,,13860,5770,6980,970,29160,2820,1960,0,310,1770,990
98029,"$1 under $25,000",2270,1920,190,130,1900,460,250,0,30,140,50
98029,"$25,000 under $50,000",1610,1170,250,180,2280,400,210,0,40,330,60
98029,"$50,000 under $75,000",1390,870,330,160,2260,390,220,0,40,300,60
98029,"$75,000 under $100,000",1200,590,450,140,2180,390,150,0,30,290,70
98029,"$100,000 under $200,000",3440,900,2260,240,8290,780,530,0,100,520,230
98029,"$200,000 or more",3950,320,3500,120,12250,400,600,0,70,190,520
,,,,,,,,,,,,
98030,,18100,9310,5830,2620,34470,2900,2930,0,560,1450,610
98030,"$1 under $25,000",5120,3740,570,750,6960,660,1020,0,90,160,70
98030,"$25,000 under $50,000",5290,3040,1040,1090,9750,630,800,0,150,350,100
98030,"$50,000 under $75,000",3100,1500,1030,470,6290,490,460,0,120,290,110
98030,"$75,000 under $100,000",1640,540,900,180,3810,360,210,0,70,230,80
98030,"$100,000 under $200,000",2460,430,1880,110,6350,620,350,0,130,340,160
98030,"$200,000 or more",490,60,410,20,1310,140,90,0,0,80,90
,,,,,,,,,,,,
98031,,20980,10380,7490,2720,39930,4000,3200,0,650,2150,750
98031,"$1 under $25,000",5400,4010,620,690,6900,780,1020,0,100,220,70
98031,"$25,000 under $50,000",5700,3360,1140,1070,10180,820,840,0,180,470,120
98031,"$50,000 under $75,000",3490,1690,1180,530,6790,730,450,0,110,460,120
98031,"$75,000 under $100,000",2150,680,1190,240,4970,550,320,0,100,340,90
