"ZIP
code [1]",Size of adjusted gross income,Number of returns [2],Number of single returns,Number of joint returns,Number of head of household returns,Number of individuals,Elderly returns,"Business or profession
net income (less loss)",Farm returns,Unemployment compensation [9],Taxable Social Security benefits,Partnership/S-corp net income (less loss)
98201,"$75,000 under $100,000",1520,650,700,140,3030,360,160,0,70,250,50
98201,"$100,000 under $200,000",2000,530,1360,100,4540,520,320,0,100,330,150
98201,"$200,000 or more",460,70,380,0,1130,180,110,0,0,100,130
,,,,,,,,,,,,
98203,,18250,9610,6230,2050,33000,3990,2300,0,620,2320,730
98203,"$1 under $25,000",4290,3320,420,460,5150,770,620,0,90,230,60
98203,"$25,000 under $50,000",4620,2960,750,780,7440,790,430,0,160,540,80
98203,"$50,000 under $75,000",3070,1680,900,420,5630,660,370,0,130,460,90
98203,"$75,000 under $100,000",2100,840,1040,180,4420,550,250,0,90,360,80
98203,"$100,000 under $200,000",3360,720,2420,210,8230,940,480,0,150,570,200
98203,"$200,000 or more",810,90,700,0,2130,280,150,0,0,160,220
,,,,,,,,,,,,
98204,,20690,11550,5410,3320,37360,3100,2580,0,690,1450,420
98204,"$1 under $25,000",5680,4170,550,860,7680,850,910,0,100,170,50
98204,"$25,000 under $50,000",6850,4210,1060,1410,11680,820,670,0,210,460,80
98204,"$50,000 under $75,000",3850,1870,1210,660,7710,580,450,0,170,340,80
98204,"$75,000 under $100,000",2030,730,1070,210,4690,390,260,0,110,240,60
98204,"$100,000 under $200,000",2060,540,1340,180,5040,400,250,0,100,210,110
98204,"$200,000 or more",220,30,180,0,560,60,40,0,0,30,40
,,,,,,,,,,,,
98208,,28720,13800,11410,3030,55520,5770,3760,0,880,3310,1090
98208,"$1 under $25,000",6630,5190,670,690,7560,1090,930,0,120,300,90
98208,"$25,000 under $50,000",6530,4210,1120,1030,10540,1080,690,0,180,750,120
98208,"$50,000 under $75,000",4430,2190,1480,640,8590,980,520,0,170,660,140
98208,"$75,000 under $100,000",3130,1030,1740,310,7040,820,440,0,130,580,130
98208,"$100,000 under $200,000",6460,1060,5020,330,17350,1460,930,0,240,870,360
98208,"$200,000 or more",1540,120,1380,30,4440,340,250,0,40,150,250
,,,,,,,,,,,,
98220,,330,150,140,30,600,100,40,0,20,60,0
98220,"$1 under $25,000",80,60,30,0,100,30,20,0,0,0,0
98220,"$25,000 under $50,000",90,60,0,30,140,40,0,0,20,40,0
98220,"$50,000 under $75,000",60,30,30,0,110,0,20,0,0,0,0
98220,"$75,000 under $100,000",40,0,30,0,100,30,0,0,0,20,0
98220,"$100,000 under $200,000",60,0,50,0,150,0,0,0,0,0,0
98220,"$200,000 or more",0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,
98221,,12160,5610,5640,770,21810,5480,2070,30,300,3770,1120
98221,"$1 under $25,000",2890,2240,390,230,3280,1070,450,0,50,300,70
98221,"$25,000 under $50,000",2300,1440,540,270,3530,810,340,0,70,660,80
98221,"$50,000 under $75,000",1780,920,710,130,3090,820,270,30,50,660,110
98221,"$75,000 under $100,000",1340,410,860,60,2770,740,230,0,40,610,100
98221,"$100,000 under $200,000",2690,450,2150,80,6380,1400,510,0,70,1100,360
98221,"$200,000 or more",1160,150,990,0,2760,640,270,0,20,440,400
,,,,,,,,,,,,
98223,,21670,10000,9190,2180,41760,5410,2490,140,910,3490,1040
98223,"$1 under $25,000",4930,3890,520,440,5430,1090,540,30,110,350,70
98223,"$25,000 under $50,000",4910,3080,940,790,7840,1080,390,0,180,820,110
98223,"$50,000 under $75,000",3290,1580,1200,460,6390,880,350,20,150,670,110
98223,"$75,000 under $100,000",2730,740,1670,280,6510,780,320,30,180,590,130
98223,"$100,000 under $200,000",4800,630,3950,210,12930,1250,710,40,260,860,350
98223,"$200,000 or more",1010,80,910,0,2660,330,180,20,30,200,270
,,,,,,,,,,,,
98225,,22420,14940,5800,1350,32250,5290,3350,30,630,3120,1500
98225,"$1 under $25,000",8310,7400,430,390,7600,1320,1060,0,170,300,130
98225,"$25,000 under $50,000",5600,4330,650,500,7370,1000,640,30,190,670,150
98225,"$50,000 under $75,000",2860,1700,880,220,4620,800,430,0,100,600,150
98225,"$75,000 under $100,000",1870,740,990,120,3670,690,350,0,80,520,180
98225,"$100,000 under $200,000",2730,590,2010,100,6390,1000,600,0,90,740,410
98225,"$200,000 or more",1050,180,840,20,2600,480,270,0,0,290,480
,,,,,,,,,,,,
98226,,22730,11690,8570,2120,41000,6410,3240,140,830,3990,1630
98226,"$1 under $25,000",6540,5110,670,670,7670,1470,810,30,120,400,120
98226,"$25,000 under $50,000",5660,3600,1100,830,9030,1250,620,40,220,940,160
98226,"$50,000 under $75,000",3350,1620,1320,340,6350,1110,470,0,150,830,160
98226,"$75,000 under $100,000",2250,650,1430,150,5080,840,360,20,150,640,170
98226,"$100,000 under $200,000",3700,580,2970,130,9510,1270,710,50,170,910,500
98226,"$200,000 or more",1230,130,1080,0,3360,470,270,0,20,270,520
,,,,,,,,,,,,
98229,,16540,8680,6450,1150,28940,4730,2640,0,500,3130,1290
98229,"$1 under $25,000",4720,3910,400,350,4940,940,580,0,90,280,70
98229,"$25,000 under $50,000",3650,2540,620,390,5330,770,460,0,140,580,110
98229,"$50,000 under $75,000",2180,1100,840,200,3900,760,370,0,80,600,120
98229,"$75,000 under $100,000",1640,500,1010,100,3470,650,280,0,70,510,140
98229,"$100,000 under $200,000",3120,510,2510,80,7910,1150,650,0,120,870,400
98229,"$200,000 or more",1230,120,1070,30,3390,460,300,0,0,290,450
,,,,,,,,,,,,
98230,,8940,3930,4020,800,16950,3060,1190,50,380,1940,550
98230,"$1 under $25,000",2340,1660,380,240,2950,720,320,0,70,180,50
98230,"$25,000 under $50,000",2110,1200,510,320,3560,590,230,30,90,430,50
98230,"$50,000 under $75,000",1370,530,670,140,2830,450,160,0,80,360,60
98230,"$75,000 under $100,000",990,240,690,50,2350,370,140,0,60,290,60
98230,"$100,000 under $200,000",1610,240,1320,50,4080,640,240,20,80,480,160
98230,"$200,000 or more",520,60,450,0,1180,290,100,0,0,200,170
,,,,,,,,,,,,
98232,,2070,900,1040,110,3860,790,370,70,100,520,250
98232,"$1 under $25,000",510,380,80,40,560,140,90,0,0,30,0
98232,"$25,000 under $50,000",370,240,80,50,560,120,50,0,30,100,30
98232,"$50,000 under $75,000",290,130,140,0,550,130,40,40,40,100,20
98232,"$75,000 under $100,000",230,50,170,20,530,110,50,0,0,90,20
98232,"$100,000 under $200,000",480,100,400,0,1190,200,90,30,30,150,80
98232,"$200,000 or more",190,0,170,0,470,90,50,0,0,50,100
,,,,,,,,,,,,
98233,,8050,3850,2900,1180,15240,2060,840,30,390,1320,420
98233,"$1 under $25,000",2250,1680,220,320,2790,510,190,0,50,150,30
98233,"$25,000 under $50,000",2210,1180,430,550,4030,430,180,30,100,320,40
98233,"$50,000 under $75,000",1340,600,530,190,2800,370,130,0,90,280,60
98233,"$75,000 under $100,000",820,190,540,80,1970,260,90,0,60,220,40
98233,"$100,000 under $200,000",1160,160,960,40,2980,380,190,0,90,280,130
98233,"$200,000 or more",270,40,220,0,670,110,60,0,0,70,120
,,,,,,,,,,,,
98236,,3170,1480,1440,180,5540,1460,680,30,90,970,290
98236,"$1 under $25,000",810,630,110,50,910,300,180,0,0,90,20
98236,"$25,000 under $50,000",620,380,170,60,980,250,130,30,30,190,50
98236,"$50,000 under $75,000",420,180,190,50,800,200,100,0,30,150,0
98236,"$75,000 under $100,000",340,120,200,0,650,180,60,0,0,150,30
98236,"$100,000 under $200,000",680,120,530,20,1540,360,130,0,30,280,90
98236,"$200,000 or more",300,50,240,0,660,170,80,0,0,110,100
,,,,,,,,,,,,
98237,,1790,810,730,230,3390,580,190,20,140,330,40
98237,"$1 under $25,000",560,370,100,80,810,190,60,20,0,40,20
98237,"$25,000 under $50,000",490,260,120,100,880,130,40,0,50,100,0
98237,"$50,000 under $75,000",290,110,150,50,630,90,50,0,30,70,0
98237,"$75,000 under $100,000",200,40,150,0,480,70,0,0,30,60,20
98237,"$100,000 under $200,000",210,30,180,0,510,100,40,0,30,60,0
98237,"$200,000 or more",40,0,30,0,80,0,0,0,0,0,0
,,,,,,,,,,,,
98239,,3780,1610,1890,190,6840,1890,620,30,90,1320,280
98239,"$1 under $25,000",890,650,170,50,1070,390,150,0,30,120,20
98239,"$25,000 under $50,000",720,410,210,70,1190,250,80,0,0,200,20
98239,"$50,000 under $75,000",620,260,300,40,1150,330,110,30,30,290,40
98239,"$75,000 under $100,000",480,140,320,30,980,280,80,0,0,230,20
98239,"$100,000 under $200,000",790,120,650,0,1810,470,130,0,30,360,100
98239,"$200,000 or more",280,30,240,0,640,170,70,0,0,120,80
,,,,,,,,,,,,
98240,,1620,710,760,140,3060,490,230,50,120,300,110
98240,"$1 under $25,000",440,330,70,40,510,120,50,20,0,40,0
98240,"$25,000 under $50,000",360,210,90,60,600,90,40,0,40,70,0
98240,"$50,000 under $75,000",260,100,130,20,520,100,30,0,20,70,50
98240,"$75,000 under $100,000",190,30,140,20,440,60,40,30,20,40,0
98240,"$100,000 under $200,000",310,40,270,0,830,90,70,0,40,80,40
98240,"$200,000 or more",60,0,60,0,160,30,0,0,0,0,20
,,,,,,,,,,,,
98241,,1100,550,420,130,2090,300,110,0,90,190,20
98241,"$1 under $25,000",290,210,50,30,400,90,40,0,0,30,20
98241,"$25,000 under $50,000",290,180,60,50,480,70,0,0,40,50,0
98241,"$50,000 under $75,000",240,110,90,50,490,60,40,0,30,50,0
98241,"$75,000 under $100,000",140,50,90,0,330,40,0,0,20,30,0
98241,"$100,000 under $200,000",140,0,130,0,390,40,30,0,0,30,0
98241,"$200,000 or more",0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,
98244,,1360,670,550,110,2510,390,220,30,100,260,110
98244,"$1 under $25,000",400,280,80,30,530,100,80,0,0,40,30
98244,"$25,000 under $50,000",340,200,90,60,600,90,40,0,30,70,0
98244,"$50,000 under $75,000",230,110,100,0,440,60,30,30,30,50,30
98244,"$75,000 under $100,000",160,40,100,20,370,60,20,0,40,40,0
98244,"$100,000 under $200,000",180,40,140,0,470,60,50,0,0,60,30
98244,"$200,000 or more",50,0,40,0,100,20,0,0,0,0,20
,,,,,,,,,,,,
98245,,2250,1150,870,170,3780,900,670,30,30,500,320
98245,"$1 under $25,000",650,500,80,50,730,200,190,0,0,30,40
98245,"$25,000 under $50,000",520,330,110,70,810,150,140,30,30,100,30
98245,"$50,000 under $75,000",320,160,130,30,580,140,90,0,0,90,40
98245,"$75,000 under $100,000",230,60,150,20,500,110,80,0,0,80,30
98245,"$100,000 under $200,000",350,70,260,0,770,190,110,0,0,130,90
98245,"$200,000 or more",180,30,140,0,390,110,60,0,0,70,90
,,,,,,,,,,,,
98247,,4050,1660,1890,440,8520,1020,520,120,210,610,330
98247,"$1 under $25,000",1090,750,180,140,1410,250,120,30,30,60,30
98247,"$25,000 under $50,000",1040,550,270,190,1960,210,90,0,50,160,30
98247,"$50,000 under $75,000",640,220,330,70,1510,170,100,40,40,120,40
98247,"$75,000 under $100,000",470,80,360,40,1240,140,70,0,40,110,40
98247,"$100,000 under $200,000",660,60,610,0,1970,190,110,50,50,120,110
98247,"$200,000 or more",150,0,140,0,430,60,30,0,0,40,80
,,,,,,,,,,,,
98248,,12900,5820,5650,1230,25450,3270,1800,140,630,2030,770
98248,"$1 under $25,000",3550,2660,480,350,4340,810,440,0,90,220,90
98248,"$25,000 under $50,000",3150,1830,750,510,5440,700,360,40,130,530,80
98248,"$50,000 under $75,000",2010,780,980,210,4310,550,290,30,120,410,100
98248,"$75,000 under $100,000",1410,300,1010,80,3610,400,230,0,100,310,100
98248,"$100,000 under $200,000",2330,220,2020,80,6440,650,390,70,190,460,220
98248,"$200,000 or more",450,30,410,0,1310,160,90,0,0,100,180
,,,,,,,,,,,,
98249,,3010,1400,1410,170,5210,1580,710,20,70,1070,330
98249,"$1 under $25,000",760,570,130,40,900,340,210,20,0,100,30
98249,"$25,000 under $50,000",600,370,170,60,930,270,120,0,40,210,30
98249,"$50,000 under $75,000",420,200,190,50,750,220,90,0,0,180,30
98249,"$75,000 under $100,000",310,90,200,0,630,180,60,0,30,150,20
98249,"$100,000 under $200,000",650,120,510,20,1430,390,160,0,0,310,110
98249,"$200,000 or more",270,50,210,0,570,180,70,0,0,120,110
,,,,,,,,,,,,
98250,,4870,2530,1910,350,8070,2120,1190,70,90,1340,660
98250,"$1 under $25,000",1400,1090,190,100,1590,470,350,30,0,100,60
98250,"$25,000 under $50,000",1050,700,210,120,1530,330,200,0,60,240,60
98250,"$50,000 under $75,000",670,310,270,70,1220,280,170,0,0,210,70
98250,"$75,000 under $100,000",480,170,280,30,980,240,140,0,30,190,70
98250,"$100,000 under $200,000",790,180,580,30,1710,470,210,20,0,380,190
98250,"$200,000 or more",480,80,380,0,1040,330,120,20,0,220,210
,,,,,,,,,,,,
98251,,2400,1180,910,260,4540,530,250,0,150,320,70
98251,"$1 under $25,000",590,440,70,70,770,140,70,0,0,30,0
98251,"$25,000 under $50,000",630,410,120,90,990,120,50,0,50,90,0
98251,"$50,000 under $75,000",470,200,180,60,970,110,60,0,30,90,40
98251,"$75,000 under $100,000",320,80,210,40,770,70,30,0,30,50,0
98251,"$100,000 under $200,000",350,50,300,0,950,90,40,0,40,60,30
98251,"$200,000 or more",40,0,30,0,90,0,0,0,0,0,0
,,,,,,,,,,,,
98252,,5270,2520,2030,600,10070,1030,540,30,300,640,170
98252,"$1 under $25,000",1230,950,120,130,1490,230,130,30,30,70,30
98252,"$25,000 under $50,000",1230,780,190,220,1950,240,100,0,60,180,0
98252,"$50,000 under $75,000",900,450,300,140,1720,190,70,0,60,140,40
98252,"$75,000 under $100,000",680,180,420,60,1660,120,80,0,60,90,0
98252,"$100,000 under $200,000",1080,140,880,50,2850,200,140,0,90,120,60
98252,"$200,000 or more",150,20,120,0,400,50,20,0,0,40,40
,,,,,,,,,,,,
98253,,1070,500,510,40,1740,610,220,0,30,400,70
98253,"$1 under $25,000",260,200,50,0,310,130,60,0,0,30,20
98253,"$25,000 under $50,000",190,120,50,40,270,100,40,0,30,80,0
98253,"$50,000 under $75,000",160,80,80,0,270,90,30,0,0,70,0
98253,"$75,000 under $100,000",140,40,80,0,250,80,30,0,0,70,0
98253,"$100,000 under $200,000",230,60,170,0,440,140,40,0,0,110,30
98253,"$200,000 or more",90,0,80,0,200,70,20,0,0,40,20
,,,,,,,,,,,,
98257,,2350,1100,1050,200,4050,1220,380,0,60,820,240
98257,"$1 under $25,000",610,450,100,70,780,260,80,0,0,70,0
98257,"$25,000 under $50,000",500,280,150,70,840,190,70,0,40,140,40
98257,"$50,000 under $75,000",350,170,140,30,600,190,60,0,0,150,30
98257,"$75,000 under $100,000",260,90,160,30,500,170,40,0,20,140,30
98257,"$100,000 under $200,000",460,80,370,0,970,300,90,0,0,240,80
98257,"$200,000 or more",170,30,130,0,360,110,40,0,0,80,60
,,,,,,,,,,,,
98258,,24250,10780,10750,2340,49530,4510,3060,40,940,2750,1100
98258,"$1 under $25,000",5020,4180,390,380,4960,850,550,0,80,250,70
98258,"$25,000 under $50,000",4610,2970,780,760,7450,790,430,0,180,600,90
98258,"$50,000 under $75,000",3720,1780,1290,540,7380,780,440,0,180,560,110
98258,"$75,000 under $100,000",3030,930,1740,310,7200,640,430,0,160,460,130
98258,"$100,000 under $200,000",6390,790,5220,330,18170,1140,960,40,310,710,350
98258,"$200,000 or more",1480,130,1330,20,4370,310,250,0,30,170,350
,,,,,,,,,,,,
98260,,3090,1470,1450,160,5380,1660,790,30,60,1090,380
98260,"$1 under $25,000",820,640,130,40,940,380,200,0,0,110,30
98260,"$25,000 under $50,000",580,370,150,60,870,270,140,0,30,210,30
98260,"$50,000 under $75,000",390,200,170,40,690,230,90,30,0,180,50
98260,"$75,000 under $100,000",320,100,200,0,650,200,90,0,30,160,40
98260,"$100,000 under $200,000",650,120,510,20,1440,380,180,0,0,300,110
98260,"$200,000 or more",330,40,290,0,790,200,90,0,0,130,120
,,,,,,,,,,,,
98261,,1390,650,660,80,2370,750,400,40,0,490,230
98261,"$1 under $25,000",400,300,70,30,490,160,120,20,0,30,30
98261,"$25,000 under $50,000",310,170,100,30,510,130,90,0,0,110,40
98261,"$50,000 under $75,000",190,70,110,20,360,100,70,0,0,70,50
98261,"$75,000 under $100,000",120,30,90,0,250,80,30,0,0,60,0
98261,"$100,000 under $200,000",250,80,190,0,510,190,60,20,0,150,60
98261,"$200,000 or more",120,0,100,0,250,90,30,0,0,70,50
,,,,,,,,,,,,
98262,,490,240,220,30,790,290,150,0,0,170,60
98262,"$1 under $25,000",130,100,20,30,150,60,40,0,0,0,0
98262,"$25,000 under $50,000",90,50,30,0,130,50,30,0,0,40,30
98262,"$50,000 under $75,000",90,50,30,0,140,50,40,0,0,40,0
98262,"$75,000 under $100,000",60,40,40,0,120,40,0,0,0,30,0
98262,"$100,000 under $200,000",80,0,70,0,170,60,40,0,0,60,30
98262,"$200,000 or more",40,0,30,0,80,30,0,0,0,0,0
,,,,,,,,,,,,
98264,,10460,4250,5270,800,22260,3050,1550,150,390,1900,1010
98264,"$1 under $25,000",2660,2030,380,210,2920,720,280,0,60,210,60
98264,"$25,000 under $50,000",2310,1280,660,340,4150,600,270,30,90,450,90
98264,"$50,000 under $75,000",1660,570,920,140,3830,520,260,40,90,410,110
98264,"$75,000 under $100,000",1260,200,990,60,3460,430,210,0,60,320,130
98264,"$100,000 under $200,000",2000,150,1780,50,6090,570,400,60,90,390,330
98264,"$200,000 or more",570,20,540,0,1810,210,130,20,0,120,290
,,,,,,,,,,,,
98266,,1780,870,620,250,3420,340,190,0,130,180,50
98266,"$1 under $25,000",580,380,100,90,860,120,80,0,20,30,20
98266,"$25,000 under $50,000",580,320,130,110,1060,90,40,0,40,60,0
98266,"$50,000 under $75,000",300,110,150,50,680,50,50,0,40,30,0
98266,"$75,000 under $100,000",160,40,110,0,400,40,0,0,0,30,30
98266,"$100,000 under $200,000",140,20,130,0,360,40,20,0,30,30,0
98266,"$200,000 or more",20,0,0,0,60,0,0,0,0,0,0
,,,,,,,,,,,,
98267,,230,130,90,20,390,80,0,0,30,50,0
98267,"$1 under $25,000",80,50,30,20,120,30,0,0,0,30,0
98267,"$25,000 under $50,000",60,50,0,0,90,30,0,0,30,0,0
98267,"$50,000 under $75,000",30,30,30,0,50,0,0,0,0,0,0
98267,"$75,000 under $100,000",20,0,0,0,50,20,0,0,0,20,0
98267,"$100,000 under $200,000",40,0,30,0,80,0,0,0,0,0,0
98267,"$200,000 or more",0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,
98270,,25680,12620,9650,3010,48870,5090,2880,20,900,3130,720
98270,"$1 under $25,000",6210,4910,560,660,6990,1150,720,20,90,340,60
98270,"$25,000 under $50,000",6290,3990,1040,1120,10270,1070,540,0,210,790,110
98270,"$50,000 under $75,000",4280,1990,1510,680,8570,940,460,0,190,700,80
98270,"$75,000 under $100,000",3110,910,1860,290,7490,690,380,0,170,520,90
98270,"$100,000 under $200,000",5100,750,4070,260,13700,1030,660,0,220,660,260
98270,"$200,000 or more",690,70,610,0,1850,210,120,0,20,120,120
,,,,,,,,,,,,
98271,,16210,8400,5580,1950,28810,3750,1570,20,650,2420,510
98271,"$1 under $25,000",4730,3770,420,460,5180,880,400,20,80,270,40
98271,"$25,000 under $50,000",3930,2450,660,720,6390,770,340,0,150,590,50
98271,"$50,000 under $75,000",2650,1200,950,440,5260,670,240,0,150,520,70
98271,"$75,000 under $100,000",1780,520,1060,180,4160,460,180,0,120,360,50
98271,"$100,000 under $200,000",2610,400,2060,150,6550,780,320,0,150,560,160
98271,"$200,000 or more",510,60,430,0,1270,190,90,0,0,120,140
,,,,,,,,,,,,
98272,,13920,6340,6050,1300,27650,3050,1980,80,570,1800,760
98272,"$1 under $25,000",3090,2490,280,270,3290,620,420,0,40,190,50
98272,"$25,000 under $50,000",2880,1820,540,450,4660,560,290,0,110,420,60
98272,"$50,000 under $75,000",2110,1000,770,300,4190,520,270,40,110,350,100
98272,"$75,000 under $100,000",1690,530,1010,120,3960,440,280,0,110,290,100
98272,"$100,000 under $200,000",3180,410,2590,160,8800,680,550,40,170,430,250
98272,"$200,000 or more",970,90,860,0,2750,230,170,0,30,120,200
,,,,,,,,,,,,
98273,,14740,6920,5510,2120,29100,3800,1740,120,650,2330,710
98273,"$1 under $25,000",4310,3140,500,630,5630,970,470,30,120,230,40
98273,"$25,000 under $50,000",3960,2130,830,930,7540,770,320,0,160,600,80
98273,"$50,000 under $75,000",2360,930,1040,340,5350,610,260,40,130,460,90
98273,"$75,000 under $100,000",1540,370,1030,120,3870,500,240,0,110,380,90
98273,"$100,000 under $200,000",2120,300,1720,100,5580,740,340,30,130,520,230
98273,"$200,000 or more",450,50,390,0,1130,210,110,20,0,140,180
,,,,,,,,,,,,
98274,,8920,4050,3850,910,17190,2830,1150,40,370,1960,560
98274,"$1 under $25,000",2190,1700,250,210,2530,570,240,0,40,180,40
98274,"$25,000 under $50,000",2030,1170,440,380,3460,520,200,0,90,430,50
98274,"$50,000 under $75,000",1430,630,610,160,2870,490,160,0,80,390,60
98274,"$75,000 under $100,000",1020,260,670,90,2490,370,130,40,60,300,60
98274,"$100,000 under $200,000",1780,230,1480,70,4650,670,320,0,100,520,190
98274,"$200,000 or more",470,60,400,0,1190,210,100,0,0,140,160
,,,,,,,,,,,,
98275,,11370,5340,5040,830,21470,3300,1720,0,300,1950,960
98275,"$1 under $25,000",2260,1870,220,130,2120,420,340,0,30,130,40
98275,"$25,000 under $50,000",1850,1290,320,220,2780,410,250,0,60,280,60
98275,"$50,000 under $75,000",1490,860,410,180,2480,420,190,0,50,310,80
98275,"$75,000 under $100,000",1210,540,530,110,2330,410,180,0,50,280,80
98275,"$100,000 under $200,000",2980,640,2150,160,7240,1110,480,0,70,680,320
98275,"$200,000 or more",1580,140,1410,30,4520,530,280,0,40,270,380
,,,,,,,,,,,,
98276,,630,250,330,70,1420,140,70,0,40,90,30
98276,"$1 under $25,000",150,100,40,0,220,50,20,0,20,0,0
98276,"$25,000 under $50,000",150,90,40,40,270,30,30,0,0,40,0
98276,"$50,000 under $75,000",120,60,60,30,290,40,0,0,0,20,30
98276,"$75,000 under $100,000",100,0,80,0,290,0,20,0,20,30,0
98276,"$100,000 under $200,000",110,0,110,0,350,20,0,0,0,0,0
98276,"$200,000 or more",0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,
98277,,19100,8280,8760,1570,37600,4880,1890,70,500,3330,580
98277,"$1 under $25,000",4610,3380,600,470,5820,990,390,0,100,270,30
98277,"$25,000 under $50,000",5830,3080,1830,700,10690,930,380,0,140,730,60
98277,"$50,000 under $75,000",3100,1040,1760,230,7070,830,310,40,110,650,70
98277,"$75,000 under $100,000",2160,390,1640,100,5440,720,310,0,70,610,90
98277,"$100,000 under $200,000",2880,320,2480,70,7320,1130,380,30,80,870,200
98277,"$200,000 or more",520,70,450,0,1260,280,120,0,0,200,130
,,,,,,,,,,,,
98279,,330,170,140,0,520,180,110,0,0,120,40
98279,"$1 under $25,000",90,70,30,0,100,40,30,0,0,0,0
98279,"$25,000 under $50,000",80,70,0,0,100,50,40,0,0,30,0
98279,"$50,000 under $75,000",30,0,30,0,50,0,0,0,0,30,0
98279,"$75,000 under $100,000",30,30,0,0,60,20,0,0,0,0,40
98279,"$100,000 under $200,000",60,0,50,0,130,40,40,0,0,40,0
98279,"$200,000 or more",40,0,30,0,80,30,0,0,0,20,0
,,,,,,,,,,,,
98281,,700,350,290,40,1160,340,190,0,20,170,60
98281,"$1 under $25,000",220,160,40,0,270,100,60,0,20,0,0
98281,"$25,000 under $50,000",160,90,50,40,250,70,40,0,0,60,0
98281,"$50,000 under $75,000",90,60,40,0,150,50,30,0,0,50,0
98281,"$75,000 under $100,000",50,0,30,0,90,30,0,0,0,0,0
98281,"$100,000 under $200,000",120,40,80,0,250,60,40,0,0,60,60
98281,"$200,000 or more",60,0,50,0,150,30,20,0,0,0,0
,,,,,,,,,,,,
98282,,8770,3800,4380,510,15910,4010,1300,40,300,2730,660
98282,"$1 under $25,000",1950,1500,320,110,2190,750,250,0,30,200,40
98282,"$25,000 under $50,000",1610,990,450,150,2490,650,190,0,60,520,60
98282,"$50,000 under $75,000",1320,580,610,110,2420,640,190,0,50,520,70
98282,"$75,000 under $100,000",1100,320,710,70,2380,530,160,0,60,440,80
98282,"$100,000 under $200,000",2130,330,1720,70,4960,1070,360,40,100,810,210
98282,"$200,000 or more",660,80,570,0,1470,370,150,0,0,240,200
,,,,,,,,,,,,
98283,,170,80,70,0,320,60,0,0,0,40,0
98283,"$1 under $25,000",50,30,0,0,70,20,0,0,0,0,0
98283,"$25,000 under $50,000",60,50,50,0,110,40,0,0,0,40,0
98283,"$50,000 under $75,000",0,0,0,0,0,0,0,0,0,0,0
98283,"$75,000 under $100,000",30,0,0,0,60,0,0,0,0,0,0
98283,"$100,000 under $200,000",30,0,20,0,80,0,0,0,0,0,0
98283,"$200,000 or more",0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,
98284,,12580,6110,4730,1560,23710,3070,1330,120,810,1850,480
98284,"$1 under $25,000",3380,2470,440,430,4290,830,360,30,100,260,40
98284,"$25,000 under $50,000",3410,2050,650,650,5790,680,270,0,200,510,60
98284,"$50,000 under $75,000",2160,950,860,290,4390,550,200,30,170,400,60
98284,"$75,000 under $100,000",1500,380,1000,110,3600,410,200,0,140,300,70
98284,"$100,000 under $200,000",1850,230,1540,80,4910,490,250,60,200,320,160
98284,"$200,000 or more",280,30,240,0,730,110,50,0,0,60,90
,,,,,,,,,,,,
98290,,17680,7990,8140,1280,34490,4590,2630,90,660,2790,1280
98290,"$1 under $25,000",3850,3180,350,250,3760,870,480,0,70,260,60
98290,"$25,000 under $50,000",3240,2210,550,410,4880,720,340,30,120,530,110
98290,"$50,000 under $75,000",2350,1220,810,260,4200,710,310,0,100,510,90
98290,"$75,000 under $100,000",1930,640,1100,160,4210,640,310,0,120,460,140
98290,"$100,000 under $200,000",4530,620,3700,170,12120,1210,820,40,210,820,410
98290,"$200,000 or more",1780,120,1630,30,5320,440,370,20,40,210,470
,,,,,,,,,,,,
98292,,12050,5460,5490,940,23220,3660,1580,80,480,2340,770
98292,"$1 under $25,000",2770,2210,320,210,2940,740,330,0,60,210,50
98292,"$25,000 under $50,000",2360,1510,480,310,3670,670,230,0,90,510,70
98292,"$50,000 under $75,000",1690,840,630,190,3180,580,190,30,80,440,80
98292,"$75,000 under $100,000",1440,420,890,120,3370,510,200,0,80,390,90
98292,"$100,000 under $200,000",3030,420,2490,110,8010,920,480,50,170,650,260
98292,"$200,000 or more",760,60,680,0,2050,240,150,0,0,140,220
,,,,,,,,,,,,
98294,,3610,1780,1380,420,7010,770,400,30,170,420,120
98294,"$1 under $25,000",850,640,100,100,1040,210,90,0,0,50,0
98294,"$25,000 under $50,000",940,580,180,170,1590,170,80,0,50,130,40
98294,"$50,000 under $75,000",670,330,260,70,1380,140,70,30,40,90,0
98294,"$75,000 under $100,000",490,140,290,50,1170,100,60,0,30,60,20
98294,"$100,000 under $200,000",590,90,480,30,1650,120,100,0,50,90,60
98294,"$200,000 or more",70,0,70,0,180,30,0,0,0,0,0
,,,,,,,,,,,,
98295,,1250,530,540,140,2640,270,150,40,60,130,80
98295,"$1 under $25,000",320,220,50,40,410,90,30,0,0,0,20
98295,"$25,000 under $50,000",310,170,70,60,580,60,20,0,40,50,0
98295,"$50,000 under $75,000",250,100,120,40,590,40,40,40,0,50,20
98295,"$75,000 under $100,000",170,40,130,0,480,30,30,0,20,0,0
98295,"$100,000 under $200,000",160,0,140,0,490,50,30,0,0,30,40
