"ZIP
code [1]",Size of adjusted gross income,Number of returns,Number of single returns,Number of joint returns,Number of head of household returns,Number of individuals,Number of dependents,Elderly returns,Adjusted gross income (AGI) [6],"Business or profession - Number of returns
net income (less loss)",Farm returns,Unemployment compensation [8],Taxable Social Security benefits,Partnership/S-corp net income (less loss),Self-employment tax
98008,"$75,000 under $100,000",1090,450,540,90,2170,540,390,94883,180,0,40,300,80,150
98008,"$100,000 under $200,000",2850,750,1900,160,6760,2020,880,410594,510,0,100,600,280,360
98008,"$200,000 or more",2710,250,2370,80,8120,3070,460,1277739,530,0,60,260,520,420
,,,,,,,,,,,,,,,
98010,,2790,1180,1360,220,5520,1580,740,315715,420,0,110,450,230,340
98010,"$1 under $25,000",580,480,60,40,550,90,130,7096,70,0,30,40,20,60
98010,"$25,000 under $50,000",440,300,70,60,650,160,100,16169,60,0,** ,70,** ,50
98010,"$50,000 under $75,000",390,190,130,60,710,190,110,24068,50,0,40,90,40,40
98010,"$75,000 under $100,000",320,100,190,30,740,230,90,27794,50,0,** ,60,** ,40
98010,"$100,000 under $200,000",720,110,600,30,1910,600,210,100511,120,0,40,140,70,90
98010,"$200,000 or more",340,** ,310,** ,960,310,100,140077,70,0,** ,50,100,60
,,,,,,,,,,,,,,,
98011,,13230,6680,5500,890,24710,6780,3090,1471104,1960,0,430,1800,810,1590
98011,"$1 under $25,000",2690,2270,230,160,2590,390,630,31999,410,0,50,170,50,340
98011,"$25,000 under $50,000",2440,1720,410,260,3630,840,510,91334,310,0,80,350,60,240
98011,"$50,000 under $75,000",1960,1220,530,180,3190,700,520,121435,270,0,80,370,70,210
98011,"$75,000 under $100,000",1400,630,630,110,2650,620,420,121037,170,0,50,290,70,140
98011,"$100,000 under $200,000",2890,680,2050,140,7050,2120,730,406323,490,0,130,470,250,390
98011,"$200,000 or more",1850,160,1650,40,5600,2110,280,698976,310,0,40,150,310,270
,,,,,,,,,,,,,,,
98012,,32620,13870,15880,2430,68080,21600,6270,3571989,4680,20,1000,3700,1970,3690
98012,"$1 under $25,000",6190,5040,620,450,6200,1230,1120,73145,860,20,100,290,110,740
98012,"$25,000 under $50,000",5410,3640,980,670,8380,2130,950,201520,670,** ,190,700,150,540
98012,"$50,000 under $75,000",4160,2260,1350,450,7460,1960,1010,258642,550,** ,170,700,180,420
98012,"$75,000 under $100,000",3470,1250,1810,350,7630,2360,830,302566,530,** ,130,570,200,400
98012,"$100,000 under $200,000",8970,1400,7070,420,24740,8710,1780,1274675,1420,** ,310,1130,680,1050
98012,"$200,000 or more",4420,280,4050,90,13670,5210,580,1461441,650,** ,100,310,650,540
,,,,,,,,,,,,,,,
98014,,3640,1590,1830,200,7320,2100,910,475010,660,50,110,520,330,530
98014,"$1 under $25,000",730,620,70,40,700,140,140,8397,100,20,20,40,** ,80
98014,"$25,000 under $50,000",580,390,120,60,890,200,130,21308,100,** ,** ,100,30,90
98014,"$50,000 under $75,000",440,260,140,30,760,180,130,27635,60,** ,40,90,30,50
98014,"$75,000 under $100,000",340,120,190,30,700,170,110,29603,80,** ,** ,80,20,60
98014,"$100,000 under $200,000",890,150,710,40,2300,700,270,126635,180,30,50,160,110,140
98014,"$200,000 or more",660,50,600,** ,1970,710,130,261432,140,** ,** ,50,140,110
,,,,,,,,,,,,,,,
98019,,5720,2250,2990,390,12300,4050,1210,754371,970,40,190,660,430,740
98019,"$1 under $25,000",1180,1000,100,70,1030,170,210,12834,150,** ,** ,50,** ,120
98019,"$25,000 under $50,000",790,520,140,100,1210,290,170,29314,120,** ,40,110,50,100
98019,"$50,000 under $75,000",610,310,220,70,1130,310,170,37476,90,** ,30,110,40,70
98019,"$75,000 under $100,000",500,160,280,50,1100,320,180,44098,90,** ,30,120,40,70
98019,"$100,000 under $200,000",1550,190,1270,70,4370,1560,340,224645,320,40,70,210,140,220
98019,"$200,000 or more",1090,70,980,30,3460,1400,140,406004,200,** ,20,60,160,160
,,,,,,,,,,,,,,,
