"ZIP
code [1]",Size of adjusted gross income,Number of returns,Number of single returns,Number of joint returns,Number of head of household returns,Number of individuals,Number of dependents,Elderly returns,Adjusted gross income (AGI) [6],"Business or profession - Number of returns
net income (less loss)",Farm returns,Unemployment compensation [8],Taxable Social Security benefits,Partnership/S-corp net income (less loss),Self-employment tax
98249,"$25,000 under $50,000",560,340,170,60,870,140,260,20470,130,** ,** ,200,50,110
98249,"$50,000 under $75,000",410,190,190,30,730,130,220,25432,80,20,30,180,30,70
98249,"$75,000 under $100,000",340,90,220,30,670,110,210,29579,80,** ,** ,160,30,60
98249,"$100,000 under $200,000",570,100,450,** ,1290,270,340,78848,120,** ,** ,270,90,100
98249,"$200,000 or more",250,40,210,** ,560,100,170,105034,70,** ,** ,120,100,60
,,,,,,,,,,,,,,,
98250,,4610,2350,1830,320,7640,1480,2010,497241,1130,80,100,1290,670,930
98250,"$1 under $25,000",1250,980,160,80,1370,190,400,15185,310,** ,30,80,50,280
98250,"$25,000 under $50,000",1060,680,230,120,1610,340,330,38837,220,40,30,240,70,200
98250,"$50,000 under $75,000",670,320,280,60,1230,280,300,41322,160,** ,40,220,80,120
98250,"$75,000 under $100,000",430,150,240,30,850,180,210,36870,110,** ,** ,170,50,90
98250,"$100,000 under $200,000",760,160,560,30,1650,330,470,104299,210,40,** ,370,200,150
98250,"$200,000 or more",440,60,360,** ,930,160,300,260728,120,** ,** ,210,220,90
,,,,,,,,,,,,,,,
98251,,2290,1100,910,250,4370,1310,500,132714,240,0,120,300,60,190
98251,"$1 under $25,000",630,460,80,70,800,190,150,8060,80,0,** ,40,** ,70
98251,"$25,000 under $50,000",600,350,150,80,1030,290,140,22220,50,0,40,100,40,40
98251,"$50,000 under $75,000",430,190,180,60,900,300,90,26415,40,0,30,70,** ,30
98251,"$75,000 under $100,000",300,60,220,40,750,240,60,26212,30,0,50,50,** ,20
98251,"$100,000 under $200,000",290,40,240,** ,800,290,60,37734,40,0,** ,40,20,30
98251,"$200,000 or more",40,** ,40,0,90,** ,** ,12073,** ,0,** ,** ,** ,** 
,,,,,,,,,,,,,,,
98252,,4840,2280,1960,520,9350,2790,990,341361,520,30,230,630,170,380
98252,"$1 under $25,000",1160,870,130,130,1400,330,230,14884,120,** ,30,80,30,100
98252,"$25,000 under $50,000",1170,720,220,210,1940,560,230,43454,100,30,50,180,** ,70
98252,"$50,000 under $75,000",820,390,320,90,1630,490,170,50871,70,** ,50,130,30,50
98252,"$75,000 under $100,000",610,160,400,50,1470,470,130,53172,70,** ,40,110,30,40
98252,"$100,000 under $200,000",920,120,760,40,2500,820,180,122603,130,** ,60,100,40,90
98252,"$200,000 or more",160,20,130,** ,410,120,50,56377,30,** ,** ,30,40,30
,,,,,,,,,,,,,,,
98253,,970,440,500,30,1650,180,600,100238,210,0,30,410,90,160
98253,"$1 under $25,000",230,170,50,** ,290,** ,130,2912,50,0,** ,30,** ,40
98253,"$25,000 under $50,000",170,110,50,30,260,60,100,6328,40,0,30,80,30,30
98253,"$50,000 under $75,000",160,80,80,** ,280,30,90,10007,40,0,** ,80,** ,40
98253,"$75,000 under $100,000",100,30,70,** ,200,20,70,8863,20,0,** ,60,** ,** 
98253,"$100,000 under $200,000",210,50,170,** ,420,40,150,28399,60,0,** ,110,30,50
98253,"$200,000 or more",100,** ,80,** ,200,30,60,43729,** ,0,** ,50,30,** 
,,,,,,,,,,,,,,,
98257,,2250,1040,1000,200,3950,790,1170,181531,340,0,60,810,210,300
98257,"$1 under $25,000",580,420,90,60,750,160,250,7104,80,0,** ,70,30,60
98257,"$25,000 under $50,000",480,270,130,70,800,190,200,17240,50,0,40,150,** ,50
98257,"$50,000 under $75,000",320,160,120,40,550,110,180,19412,50,0,** ,140,30,50
98257,"$75,000 under $100,000",260,80,170,30,540,110,160,22663,50,0,20,140,20,40
98257,"$100,000 under $200,000",460,80,370,** ,1000,180,280,62772,80,0,** ,240,80,70
98257,"$200,000 or more",150,30,120,** ,310,40,100,52340,30,0,** ,70,50,30
,,,,,,,,,,,,,,,
98258,,23080,9950,10480,2300,47930,15880,4330,2042461,3000,40,890,2630,1100,2280
98258,"$1 under $25,000",4830,3950,410,400,4910,1090,870,59625,490,** ,90,260,80,430
98258,"$25,000 under $50,000",4570,2820,880,770,7610,2230,810,170849,470,** ,190,620,110,360
98258,"$50,000 under $75,000",3400,1570,1270,470,6950,2290,710,210983,420,** ,170,480,110,310
98258,"$75,000 under $100,000",3110,820,1900,340,7790,2780,630,272278,480,40,160,450,130,330
98258,"$100,000 under $200,000",5910,690,4890,290,17000,6200,1030,804924,910,** ,260,650,360,650
98258,"$200,000 or more",1260,100,1130,30,3670,1290,280,523802,230,** ,20,170,310,200
,,,,,,,,,,,,,,,
98260,,2950,1370,1390,160,5180,950,1600,294423,800,30,60,1040,350,660
98260,"$1 under $25,000",780,600,120,50,900,110,370,9279,220,** ,** ,90,30,190
98260,"$25,000 under $50,000",540,330,160,50,850,150,250,20129,130,30,40,200,30,110
98260,"$50,000 under $75,000",410,200,170,30,720,140,240,25397,100,** ,** ,180,50,80
98260,"$75,000 under $100,000",300,90,200,30,630,130,180,26191,100,** ,20,140,30,80
98260,"$100,000 under $200,000",620,110,490,** ,1380,270,380,84766,170,** ,** ,300,100,130
98260,"$200,000 or more",300,40,250,** ,700,150,180,128661,80,** ,** ,130,110,70
,,,,,,,,,,,,,,,
98261,,1310,580,630,100,2280,410,720,132144,390,50,0,470,210,330
98261,"$1 under $25,000",400,280,80,40,520,90,170,4912,130,** ,0,40,30,110
98261,"$25,000 under $50,000",280,160,90,30,450,80,120,10322,80,** ,0,90,20,70
98261,"$50,000 under $75,000",180,60,100,30,360,80,100,11255,50,50,0,80,30,50
98261,"$75,000 under $100,000",130,30,100,** ,290,60,90,11526,40,** ,0,70,20,30
98261,"$100,000 under $200,000",210,50,170,** ,440,70,150,29459,60,** ,0,120,60,50
98261,"$200,000 or more",110,** ,90,** ,220,30,90,64670,30,** ,0,70,50,20
,,,,,,,,,,,,,,,
98262,,480,240,220,20,810,120,280,36775,140,0,0,190,60,120
98262,"$1 under $25,000",130,100,20,20,160,40,70,1323,50,0,0,** ,** ,60
98262,"$25,000 under $50,000",80,60,20,** ,120,** ,40,2999,20,0,0,50,** ,** 
98262,"$50,000 under $75,000",80,40,40,** ,140,20,50,4919,40,0,0,40,30,30
98262,"$75,000 under $100,000",70,20,40,** ,140,30,40,6123,** ,0,0,30,** ,** 
98262,"$100,000 under $200,000",90,20,70,** ,180,30,60,12252,30,0,0,70,30,30
98262,"$200,000 or more",30,** ,30,0,70,** ,20,9159,** ,0,0,** ,** ,** 
,,,,,,,,,,,,,,,
98264,,10080,4040,5130,800,21620,7140,2920,786796,1470,160,330,1790,980,1270
98264,"$1 under $25,000",2620,1990,390,220,2890,550,710,32066,290,** ,50,190,70,230
98264,"$25,000 under $50,000",2250,1180,680,350,4180,1290,560,82602,250,40,80,430,90,220
98264,"$50,000 under $75,000",1640,550,950,130,3880,1290,520,101850,250,30,80,410,130,210
98264,"$75,000 under $100,000",1240,170,1000,50,3510,1270,390,108080,240,20,50,290,120,210
98264,"$100,000 under $200,000",1810,150,1620,50,5600,2170,530,240635,330,40,70,350,310,280
98264,"$200,000 or more",520,** ,490,** ,1560,570,210,221563,110,30,** ,120,260,120
,,,,,,,,,,,,,,,
98266,,1670,790,600,230,3250,1040,330,78250,220,0,90,170,40,170
98266,"$1 under $25,000",560,350,110,80,860,240,130,7432,90,0,30,30,20,80
98266,"$25,000 under $50,000",540,300,130,100,1010,340,80,19450,60,0,** ,50,** ,60
98266,"$50,000 under $75,000",310,110,150,50,680,230,50,18624,30,0,40,40,** ,** 
98266,"$75,000 under $100,000",120,30,90,** ,330,120,30,10349,40,0,** ,20,20,30
98266,"$100,000 under $200,000",140,** ,120,** ,370,110,40,22395,** ,0,20,30,** ,** 
98266,"$200,000 or more",** ,** ,** ,** ,** ,** ,** ,** ,** ,0,** ,** ,** ,** 
,,,,,,,,,,,,,,,
98267,,240,120,80,30,410,100,80,11157,0,0,20,50,0,0
98267,"$1 under $25,000",90,50,30,30,140,40,30,1126,0,0,20,** ,0,0
98267,"$25,000 under $50,000",60,40,** ,** ,100,30,30,2336,0,0,** ,** ,0,0
98267,"$50,000 under $75,000",40,30,30,** ,60,** ,** ,2190,0,0,** ,50,0,0
98267,"$75,000 under $100,000",20,** ,** ,0,50,30,20,1891,0,0,** ,** ,0,0
98267,"$100,000 under $200,000",30,** ,20,** ,60,** ,** ,3614,0,0,** ,** ,0,0
98267,"$200,000 or more",** ,** ,** ,** ,** ,** ,** ,** ,0,0,** ,** ,0,0
,,,,,,,,,,,,,,,
98270,,24430,11700,9410,2950,47500,15230,4940,1602360,2680,0,870,3070,700,2040
98270,"$1 under $25,000",6120,4830,530,690,6870,1730,1130,77840,630,0,110,320,60,520
98270,"$25,000 under $50,000",6060,3670,1090,1150,10390,3310,1050,221936,500,0,210,800,90,370
98270,"$50,000 under $75,000",4010,1730,1590,600,8380,2780,960,247688,460,0,170,720,90,330
98270,"$75,000 under $100,000",3080,800,1950,290,7780,2750,660,268629,390,0,170,500,100,280
98270,"$100,000 under $200,000",4580,600,3750,220,12500,4170,960,610166,620,0,210,610,250,470
98270,"$200,000 or more",580,70,500,** ,1580,490,180,176101,80,0,** ,120,110,70
,,,,,,,,,,,,,,,
98271,,15550,7900,5530,1900,28250,8340,3660,1011973,1530,30,580,2330,550,1150
98271,"$1 under $25,000",4630,3680,410,490,5120,1180,890,61318,360,** ,80,250,50,290
98271,"$25,000 under $50,000",3710,2190,720,720,6350,1970,750,135915,320,30,150,590,70,230
98271,"$50,000 under $75,000",2540,1130,960,400,5190,1700,640,156704,240,0,120,490,80,160
98271,"$75,000 under $100,000",1790,530,1090,150,4140,1260,510,155375,200,** ,100,370,80,140
98271,"$100,000 under $200,000",2410,330,1930,140,6250,1910,670,320556,320,** ,130,500,140,240
98271,"$200,000 or more",470,40,420,** ,1200,320,200,182105,90,** ,** ,130,130,90
,,,,,,,,,,,,,,,
98272,,13330,5980,5890,1300,26950,8560,2890,1091738,1930,80,480,1660,740,1500
98272,"$1 under $25,000",3010,2410,280,280,3250,730,630,36804,390,** ,60,160,50,330
98272,"$25,000 under $50,000",2880,1760,580,490,4810,1390,570,106340,320,** ,80,420,80,250
98272,"$50,000 under $75,000",2060,910,830,270,4290,1420,490,127074,290,40,90,350,80,210
98272,"$75,000 under $100,000",1600,460,1000,130,3950,1350,380,138968,260,** ,90,260,90,190
98272,"$100,000 under $200,000",2950,360,2460,110,8230,2820,630,402889,520,20,130,370,250,390
98272,"$200,000 or more",830,80,740,20,2420,850,190,279663,150,20,30,100,190,130
,,,,,,,,,,,,,,,
98273,,14300,6440,5500,2170,28920,9870,3710,904775,1730,110,640,2280,690,1430
98273,"$1 under $25,000",4220,2960,490,720,5740,1740,980,55014,450,30,130,240,50,380
98273,"$25,000 under $50,000",3950,2030,900,950,7880,3050,760,144164,360,** ,150,590,100,290
98273,"$50,000 under $75,000",2240,820,1070,310,5260,1960,590,138084,250,30,130,430,60,200
98273,"$75,000 under $100,000",1450,330,980,110,3620,1190,460,125050,210,** ,90,370,90,150
98273,"$100,000 under $200,000",2010,260,1670,80,5320,1650,700,266272,340,30,140,500,210,290
98273,"$200,000 or more",430,40,390,** ,1100,280,220,176191,120,20,** ,150,180,120
,,,,,,,,,,,,,,,
98274,,8680,3800,3870,920,17110,5030,2830,655982,1180,40,360,1930,570,970
98274,"$1 under $25,000",2200,1650,290,250,2620,560,620,28384,240,20,50,190,40,200
98274,"$25,000 under $50,000",2050,1140,460,410,3630,1150,540,75175,210,** ,80,450,50,170
98274,"$50,000 under $75,000",1330,540,630,140,2850,900,460,82238,160,** ,60,370,70,130
98274,"$75,000 under $100,000",1020,230,710,70,2510,780,370,89073,150,20,70,290,70,120
98274,"$100,000 under $200,000",1660,200,1410,50,4390,1320,650,226427,310,** ,100,510,170,250
98274,"$200,000 or more",420,40,370,** ,1110,320,190,154685,110,** ,** ,120,170,100
,,,,,,,,,,,,,,,
98275,,11110,5110,5030,840,21300,5970,3150,1307700,1650,0,340,1930,1020,1270
98275,"$1 under $25,000",2180,1840,190,130,1990,360,390,25326,260,0,30,110,50,230
98275,"$25,000 under $50,000",1870,1250,360,220,2880,700,430,69775,240,0,70,310,80,190
98275,"$50,000 under $75,000",1460,810,460,170,2590,680,430,90074,220,0,60,320,80,150
98275,"$75,000 under $100,000",1150,500,520,120,2250,580,390,100472,180,0,60,290,90,120
98275,"$100,000 under $200,000",2880,580,2120,150,7150,2150,1000,407569,470,0,90,630,310,350
98275,"$200,000 or more",1570,130,1380,50,4440,1500,510,614484,280,0,30,270,410,230
,,,,,,,,,,,,,,,
98276,,640,250,340,60,1470,520,150,39226,70,0,40,100,0,50
98276,"$1 under $25,000",160,110,30,** ,220,50,50,2039,20,0,** ,** ,0,20
98276,"$25,000 under $50,000",150,80,40,40,280,100,30,5155,30,0,** ,40,0,** 
98276,"$50,000 under $75,000",120,60,70,20,290,100,50,7683,** ,0,40,30,0,30
98276,"$75,000 under $100,000",90,** ,80,** ,270,100,** ,7933,20,0,** ,30,0,** 
98276,"$100,000 under $200,000",120,** ,120,** ,410,170,20,16416,** ,0,** ,** ,0,** 
98276,"$200,000 or more",** ,** ,** ,** ,** ,** ,** ,** ,** ,0,** ,** ,0,** 
,,,,,,,,,,,,,,,
98277,,18650,7790,8890,1550,37620,10740,4820,1162960,1930,70,490,3260,600,1420
98277,"$1 under $25,000",4490,3220,640,490,5760,1270,990,62733,400,20,90,240,50,300
98277,"$25,000 under $50,000",5750,2850,1980,710,11100,3390,960,209702,440,** ,140,760,60,280
98277,"$50,000 under $75,000",3170,1010,1900,210,7290,2220,870,195653,350,20,100,690,80,270
98277,"$75,000 under $100,000",2110,360,1660,80,5530,1760,710,183200,280,** ,70,590,80,200
98277,"$100,000 under $200,000",2650,280,2300,60,6780,1830,1030,350503,350,30,90,790,190,270
98277,"$200,000 or more",480,70,410,** ,1160,270,260,161169,110,** ,** ,190,140,100
,,,,,,,,,,,,,,,
98279,,330,150,160,0,530,60,170,29612,100,0,0,130,30,80
98279,"$1 under $25,000",100,80,** ,0,110,** ,40,1109,30,0,0,** ,** ,30
98279,"$25,000 under $50,000",70,50,60,0,100,** ,50,2477,20,0,0,50,30,30
98279,"$50,000 under $75,000",30,** ,** ,0,70,40,** ,1975,20,0,0,** ,0,** 
98279,"$75,000 under $100,000",40,20,30,0,80,** ,30,3202,** ,0,0,30,** ,** 
98279,"$100,000 under $200,000",60,** ,40,0,110,20,50,7873,30,0,0,50,** ,20
98279,"$200,000 or more",30,** ,30,0,60,** ,** ,12976,** ,0,0,** ,** ,** 
,,,,,,,,,,,,,,,
98281,,660,330,290,30,1160,240,320,61563,170,0,0,160,60,140
98281,"$1 under $25,000",210,150,50,** ,270,30,110,2524,60,0,0,** ,** ,50
98281,"$25,000 under $50,000",130,80,30,30,200,40,50,4664,30,0,0,50,20,20
98281,"$50,000 under $75,000",90,40,40,** ,170,40,50,5613,40,0,0,40,** ,30
98281,"$75,000 under $100,000",60,30,30,** ,120,30,20,5088,** ,0,0,20,** ,** 
98281,"$100,000 under $200,000",110,30,90,** ,260,60,60,15495,40,0,0,50,40,40
98281,"$200,000 or more",60,** ,50,** ,140,40,30,28179,** ,0,0,** ,** ,** 
,,,,,,,,,,,,,,,
98282,,8440,3560,4310,470,15420,3080,3880,764073,1280,40,260,2670,670,950
98282,"$1 under $25,000",1920,1460,340,100,2120,250,740,23333,240,20,30,210,40,210
98282,"$25,000 under $50,000",1540,920,440,160,2410,440,620,56315,180,** ,60,500,50,130
98282,"$50,000 under $75,000",1290,560,600,110,2390,500,640,80147,170,** ,50,520,60,120
98282,"$75,000 under $100,000",1110,300,750,50,2430,570,540,96216,180,** ,40,440,80,130
98282,"$100,000 under $200,000",1990,260,1660,50,4760,1110,980,270244,370,20,80,750,250,250
98282,"$200,000 or more",590,60,520,** ,1310,210,360,237818,140,** ,** ,250,190,110
,,,,,,,,,,,,,,,
98283,,170,90,70,0,320,80,60,9579,0,0,0,30,0,0
98283,"$1 under $25,000",50,30,** ,0,70,30,40,678,0,0,0,** ,0,0
98283,"$25,000 under $50,000",50,30,50,0,90,** ,** ,1846,0,0,0,30,0,0
98283,"$50,000 under $75,000",20,30,** ,0,50,30,20,1401,0,0,0,** ,0,0
98283,"$75,000 under $100,000",20,** ,** ,0,40,** ,** ,1705,0,0,0,** ,0,0
98283,"$100,000 under $200,000",30,** ,20,0,70,20,** ,3949,0,0,0,** ,0,0
98283,"$200,000 or more",** ,** ,** ,0,** ,** ,** ,** ,0,0,0,** ,0,0
,,,,,,,,,,,,,,,
98284,,11940,5640,4670,1460,22910,6870,2950,728968,1290,120,720,1820,490,990
98284,"$1 under $25,000",3250,2360,420,430,4190,1050,810,42769,340,30,100,230,50,280
98284,"$25,000 under $50,000",3230,1850,690,630,5640,1750,670,117520,260,** ,160,510,60,190
98284,"$50,000 under $75,000",2080,850,930,250,4380,1380,530,127786,230,40,160,410,60,180
98284,"$75,000 under $100,000",1390,340,950,90,3400,1060,380,120291,170,** ,150,290,60,110
98284,"$100,000 under $200,000",1750,220,1470,60,4680,1450,470,227994,240,50,150,330,170,180
98284,"$200,000 or more",240,20,210,** ,620,180,90,92608,50,** ,** ,50,90,50
,,,,,,,,,,,,,,,
98290,,16890,7460,7940,1250,33470,9780,4350,1687224,2560,120,620,2630,1280,2040
98290,"$1 under $25,000",3700,3040,350,250,3630,620,830,44735,450,** ,60,230,80,380
98290,"$25,000 under $50,000",3130,2050,610,410,4810,1140,710,115209,320,** ,110,550,100,240
98290,"$50,000 under $75,000",2290,1140,820,270,4320,1220,680,141415,320,40,120,470,120,260
98290,"$75,000 under $100,000",1910,610,1110,160,4300,1290,600,166985,330,** ,100,440,130,250
98290,"$100,000 under $200,000",4280,530,3590,140,11700,3830,1130,601912,810,50,190,730,400,630
98290,"$200,000 or more",1580,90,1460,20,4710,1680,400,616968,330,30,40,210,450,280
,,,,,,,,,,,,,,,
98292,,11620,5090,5440,950,22680,6340,3540,1006682,1530,90,460,2280,760,1190
98292,"$1 under $25,000",2670,2110,340,190,2860,520,720,32604,310,** ,60,200,50,240
98292,"$25,000 under $50,000",2350,1460,510,340,3760,930,680,86586,220,30,100,520,70,180
98292,"$50,000 under $75,000",1600,720,640,190,3110,880,520,98730,190,** ,70,390,90,140
98292,"$75,000 under $100,000",1510,400,980,120,3620,1130,540,131875,210,** ,90,420,90,160
98292,"$100,000 under $200,000",2760,340,2310,110,7410,2340,810,374388,450,60,140,570,240,330
98292,"$200,000 or more",730,60,660,** ,1920,540,270,282499,150,** ,** ,180,220,140
,,,,,,,,,,,,,,,
98294,,3390,1650,1310,420,6720,2180,700,209942,360,30,140,420,110,280
98294,"$1 under $25,000",830,630,100,110,1070,290,190,10564,90,** ,** ,60,20,70
98294,"$25,000 under $50,000",880,520,170,170,1550,510,150,32488,60,** ,50,110,** ,50
98294,"$50,000 under $75,000",630,300,250,70,1350,470,130,38618,60,30,30,90,40,50
98294,"$75,000 under $100,000",480,130,310,70,1200,410,110,42029,50,** ,30,70,** ,40
98294,"$100,000 under $200,000",500,70,430,** ,1380,460,90,64664,100,** ,30,70,50,70
98294,"$200,000 or more",70,** ,50,** ,170,40,30,21579,** ,** ,** ,20,** ,** 
,,,,,,,,,,,,,,,
98295,,1190,510,540,140,2580,920,270,71267,150,40,60,150,80,110
98295,"$1 under $25,000",320,220,60,30,400,80,90,4111,40,** ,30,20,** ,30
98295,"$25,000 under $50,000",330,170,90,70,680,260,60,12270,40,** ,** ,40,** ,30
98295,"$50,000 under $75,000",230,90,110,40,550,210,50,14336,30,40,30,60,40,20
98295,"$75,000 under $100,000",130,30,120,** ,400,150,30,11722,20,** ,** ,** ,** ,30
98295,"$100,000 under $200,000",160,** ,140,** ,480,190,40,20625,20,** ,** ,30,40,** 
98295,"$200,000 or more",20,** ,20,** ,70,30,** ,8203,** ,** ,0,** ,** ,** 
,,,,,,,,,,,,,,,
98296,,12650,5150,6650,730,26520,8480,2890,1576097,2070,40,370,1710,1160,1710
98296,"$1 under $25,000",2660,2300,230,110,2070,330,450,29045,320,20,20,130,40,280
98296,"$25,000 under $50,000",1760,1240,330,160,2610,590,360,64867,230,** ,70,260,70,190
98296,"$50,000 under $75,000",1370,700,490,150,2530,680,390,84978,210,** ,50,280,100,180
98296,"$75,000 under $100,000",1200,370,700,110,2700,810,390,104671,240,** ,40,280,110,180
98296,"$100,000 under $200,000",3670,430,3060,160,10500,3780,920,525775,690,20,130,580,360,560
98296,"$200,000 or more",1990,110,1840,40,6110,2290,380,766761,380,** ,60,180,480,320
,,,,,,,,,,,,,,,
98303,,590,260,300,20,1020,160,320,42605,120,0,0,220,40,90
98303,"$1 under $25,000",150,100,40,20,200,30,70,1706,30,0,0,20,** ,40
98303,"$25,000 under $50,000",120,80,40,** ,200,40,60,4529,20,0,0,50,** ,** 
98303,"$50,000 under $75,000",100,60,60,** ,190,50,70,6588,40,0,0,60,** ,30
98303,"$75,000 under $100,000",80,** ,50,** ,150,** ,40,6591,** ,0,0,30,40,** 
98303,"$100,000 under $200,000",100,20,80,** ,190,40,80,12345,30,0,0,60,** ,20
98303,"$200,000 or more",40,** ,30,0,90,** ,** ,10846,** ,0,0,** ,** ,** 
,,,,,,,,,,,,,,,
98304,,380,200,140,30,690,180,120,19715,50,0,40,80,0,40
98304,"$1 under $25,000",140,100,20,30,190,40,40,1749,30,0,** ,** ,0,** 
98304,"$25,000 under $50,000",90,50,30,** ,150,40,30,3209,** ,0,40,50,0,40
98304,"$50,000 under $75,000",60,50,30,** ,140,60,20,3930,20,0,** ,** ,0,** 
98304,"$75,000 under $100,000",40,** ,20,** ,80,** ,30,3369,** ,0,** ,30,0,** 
98304,"$100,000 under $200,000",50,** ,40,0,130,40,** ,7458,** ,0,** ,** ,0,** 
98304,"$200,000 or more",** ,** ,** ,** ,** ,** ,** ,** ,** ,0,** ,** ,0,** 
,,,,,,,,,,,,,,,
98305,,190,80,80,0,350,90,90,10326,0,0,0,60,0,0
98305,"$1 under $25,000",60,30,30,0,80,** ,50,748,0,0,0,30,0,0
98305,"$25,000 under $50,000",50,20,** ,0,80,40,** ,1711,0,0,0,** ,0,0
98305,"$50,000 under $75,000",30,30,30,0,70,30,20,2025,0,0,0,30,0,0
98305,"$75,000 under $100,000",20,** ,** ,0,50,** ,20,2008,0,0,0,** ,0,0
98305,"$100,000 under $200,000",30,** ,20,0,70,20,** ,3834,0,0,0,** ,0,0
98305,"$200,000 or more",** ,** ,** ,0,** ,** ,** ,** ,0,0,0,** ,0,0
,,,,,,,,,,,,,,,
98310,,10010,5370,3300,1140,17550,4520,2560,566702,820,0,270,1600,260,610
98310,"$1 under $25,000",2670,1990,250,370,3550,890,580,36758,210,0,60,140,20,160
98310,"$25,000 under $50,000",3010,1850,610,450,4860,1270,650,109875,190,0,90,460,40,140
98310,"$50,000 under $75,000",1880,940,700,200,3460,890,540,115682,130,0,50,410,30,90
98310,"$75,000 under $100,000",1100,360,650,80,2430,670,320,94756,110,0,30,270,30,80
98310,"$100,000 under $200,000",1180,200,950,40,2860,730,380,154829,150,0,40,270,90,110
98310,"$200,000 or more",170,30,140,** ,390,70,90,54802,30,0,** ,50,50,30
,,,,,,,,,,,,,,,
98311,,12520,5660,5360,1290,24390,7050,3280,823307,1150,0,290,2150,350,860
98311,"$1 under $25,000",2980,2300,280,350,3620,870,590,39405,250,0,60,140,30,200
98311,"$25,000 under $50,000",3070,1800,690,500,5150,1410,680,113007,210,0,80,510,40,150
98311,"$50,000 under $75,000",2250,900,1050,250,4730,1430,660,139501,220,0,60,520,50,150
98311,"$75,000 under $100,000",1730,400,1190,130,4200,1280,550,150853,180,0,40,410,40,130
98311,"$100,000 under $200,000",2220,230,1920,60,6010,1870,690,292418,250,0,50,500,120,190
98311,"$200,000 or more",270,30,230,** ,680,190,110,88123,40,0,** ,70,70,40
,,,,,,,,,,,,,,,
98312,,15150,7420,5830,1560,28080,7620,3560,996690,1380,20,460,2140,510,1050
98312,"$1 under $25,000",3800,2800,390,520,4980,1250,720,52923,340,0,100,160,30,280
98312,"$25,000 under $50,000",4260,2510,1010,590,7170,1930,810,156815,290,20,120,550,60,210
98312,"$50,000 under $75,000",2650,1190,1120,270,5190,1430,660,163805,220,** ,110,490,80,160
98312,"$75,000 under $100,000",1780,550,1100,100,4020,1150,500,153565,170,** ,60,370,60,120
98312,"$100,000 under $200,000",2230,320,1840,80,5590,1520,720,297823,280,** ,70,470,140,200
98312,"$200,000 or more",430,50,370,** ,1130,340,150,171759,80,** ,** ,100,140,80
,,,,,,,,,,,,,,,
98315,,1800,780,920,40,4260,1610,20,77737,90,0,0,20,0,40
98315,"$1 under $25,000",530,460,40,** ,590,60,** ,10604,** ,0,0,0,0,** 
98315,"$25,000 under $50,000",750,290,420,40,1820,660,20,26668,50,0,0,20,0,** 
98315,"$50,000 under $75,000",310,30,280,** ,1160,580,** ,18584,40,0,0,** ,0,40
98315,"$75,000 under $100,000",130,** ,110,** ,430,200,** ,10672,** ,0,0,** ,0,** 
98315,"$100,000 under $200,000",80,** ,70,** ,260,110,** ,11209,** ,0,0,** ,0,** 
98315,"$200,000 or more",** ,** ,** ,** ,** ,** ,** ,** ,** ,0,0,** ,0,** 
,,,,,,,,,,,,,,,
98320,,590,250,280,40,1020,170,330,34943,90,0,20,200,30,70
98320,"$1 under $25,000",200,120,50,40,300,60,90,2497,30,0,20,** ,** ,40
98320,"$25,000 under $50,000",140,70,50,** ,240,50,80,5202,40,0,** ,80,** ,** 
98320,"$50,000 under $75,000",90,30,50,** ,170,30,50,5302,** ,0,** ,40,30,30
98320,"$75,000 under $100,000",60,30,40,** ,110,30,40,4935,** ,0,** ,30,** ,** 
98320,"$100,000 under $200,000",100,** ,90,** ,200,** ,70,17007,20,0,** ,50,** ,** 
98320,"$200,000 or more",** ,** ,** ,** ,** ,** ,** ,** ,** ,0,** ,** ,** ,** 
,,,,,,,,,,,,,,,
98321,,7670,3290,3600,670,15410,4640,1810,647693,930,60,320,1200,400,730
98321,"$1 under $25,000",1660,1320,170,140,1700,330,370,20667,140,** ,30,120,** ,110
98321,"$25,000 under $50,000",1570,990,300,250,2490,640,370,58541,130,30,60,300,60,100
98321,"$50,000 under $75,000",1140,540,450,140,2220,640,320,70868,120,** ,60,230,50,100
98321,"$75,000 under $100,000",940,230,620,70,2290,730,270,81681,130,** ,70,220,40,100
98321,"$100,000 under $200,000",1940,180,1690,70,5510,1880,390,265033,320,30,100,280,130,250
98321,"$200,000 or more",420,30,370,** ,1200,420,90,150903,90,** ,** ,50,120,70
,,,,,,,,,,,,,,,
98323,,370,170,150,40,750,260,70,24476,20,0,20,50,0,0
98323,"$1 under $25,000",90,70,** ,** ,90,30,** ,1057,0,0,0,20,0,0
98323,"$25,000 under $50,000",80,50,** ,40,140,40,50,3149,** ,0,** ,** ,0,0
98323,"$50,000 under $75,000",60,30,40,** ,120,40,** ,3743,20,0,20,30,0,0
98323,"$75,000 under $100,000",60,20,40,** ,140,50,20,4850,** ,0,** ,** ,0,0
98323,"$100,000 under $200,000",80,** ,70,** ,260,100,** ,11677,** ,0,** ,** ,0,0
98323,"$200,000 or more",** ,** ,** ,** ,** ,** ,** ,** ,** ,0,** ,** ,0,0
,,,,,,,,,,,,,,,
98325,,1090,520,500,80,1960,420,410,66443,190,30,40,250,80,160
98325,"$1 under $25,000",370,270,70,30,470,70,130,4826,60,** ,** ,40,20,50
98325,"$25,000 under $50,000",250,140,80,30,410,80,90,9331,50,** ,** ,70,** ,40
98325,"$50,000 under $75,000",180,60,110,20,380,90,70,11277,50,30,40,50,20,40
