"ZIP
code [1]",Size of adjusted gross income,Number of returns [2],Number of single returns,Number of joint returns,Number of head of household returns,Number of individuals,Elderly returns,Farm returns,Unemployment compensation [9],Taxable Social Security benefits,Partnership/S-corp net income (less loss)
98012,"$50,000 under $75,000",4260,2440,1260,450,7290,1030,20,990,730,180
98012,"$75,000 under $100,000",3390,1400,1590,320,6890,830,0,770,570,190
98012,"$100,000 under $200,000",8550,1690,6330,400,22280,1800,0,1790,1120,540
98012,"$200,000 or more",6160,430,5590,120,18610,670,0,790,340,710
,,,,,,,,,,,
98014,,3660,1580,1820,200,7290,1010,50,790,560,310
98014,"$1 under $25,000",700,580,70,30,700,160,20,130,40,30
98014,"$25,000 under $50,000",580,400,110,60,840,170,0,160,110,0
98014,"$50,000 under $75,000",420,230,150,30,730,130,0,130,90,20
98014,"$75,000 under $100,000",350,130,180,30,700,140,0,90,100,20
98014,"$100,000 under $200,000",810,170,600,50,1960,250,30,180,160,80
98014,"$200,000 or more",800,70,710,0,2360,160,0,100,60,160
,,,,,,,,,,,
98019,,5790,2370,3010,350,12200,1270,40,1100,710,420
98019,"$1 under $25,000",1120,940,100,60,1060,220,0,180,50,30
98019,"$25,000 under $50,000",750,520,140,80,1100,180,0,220,120,30
98019,"$50,000 under $75,000",660,370,210,70,1150,190,0,140,130,40
98019,"$75,000 under $100,000",470,170,250,40,990,160,0,110,110,20
98019,"$100,000 under $200,000",1460,250,1120,80,3810,350,40,300,220,120
98019,"$200,000 or more",1330,120,1190,20,4090,170,0,150,80,180
,,,,,,,,,,,
98020,,11230,5680,4910,470,19520,5030,20,1870,3300,1370
98020,"$1 under $25,000",2150,1830,240,50,2060,830,20,360,270,80
98020,"$25,000 under $50,000",1650,1270,260,80,2110,680,0,400,540,70
98020,"$50,000 under $75,000",1530,1020,370,110,2220,690,0,280,520,100
98020,"$75,000 under $100,000",1160,580,480,70,1910,610,0,190,470,90
98020,"$100,000 under $200,000",2620,720,1760,110,5630,1350,0,410,990,330
98020,"$200,000 or more",2120,260,1800,50,5590,870,0,230,510,700
,,,,,,,,,,,
98021,,15570,6460,8000,850,32730,3430,0,2960,1910,1040
98021,"$1 under $25,000",2810,2320,320,140,2850,750,0,470,220,50
98021,"$25,000 under $50,000",2220,1570,390,210,3190,550,0,600,410,60
98021,"$50,000 under $75,000",1740,1020,500,170,2900,510,0,390,330,80
98021,"$75,000 under $100,000",1350,580,640,90,2600,410,0,280,300,80
98021,"$100,000 under $200,000",3700,710,2750,170,9500,850,0,770,490,290
98021,"$200,000 or more",3750,260,3400,70,11690,360,0,450,160,480
,,,,,,,,,,,
98022,,11700,5670,4950,940,21900,3480,220,2910,2180,750
